VendorNumber,VendorName,Brand,Description,Volume,ActualPrice,PurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
480,BACARDI USA INC,903,Bombay Sapphire Gin,1000.0,24.99,15257.480000000314,9534,179143.86000000098,9465.0,251306.34999999506,132815.32000001054,9938.249999999976,89286.26999999999,72162.48999999408,28.714948905984865,0.9927627438640655,1.4028186620517928,18.790000000000102,Large,1724.31
480,BACARDI USA INC,973,Bacardi 1873 Solera Rum,750.0,19.99,23.8,21,249.9,157.0,2353.4299999999985,1424.0500000000006,123.7500000000002,89286.26999999999,2103.5299999999984,89.38145600251546,7.476190476190476,9.417486994797914,11.9,Small,-2718.64
480,BACARDI USA INC,974,Bacardi O Orange Rum,1000.0,15.49,98.32,59,725.11,49.0,741.5100000000001,467.69000000000017,51.44999999999996,89286.26999999999,16.40000000000009,2.2117031462825976,0.8305084745762712,1.0226172580711894,12.290000000000001,Small,154.9
480,BACARDI USA INC,1020,B & B Dom VAP,750.0,28.99,36.22,2,36.22,52.0,1319.4800000000002,969.6200000000002,41.00999999999998,89286.26999999999,1283.2600000000002,97.25497923424379,26.0,36.429596907785765,18.11,Small,-1449.5
480,BACARDI USA INC,1047,Angels Envy Hanover Chop,750.0,45.99,35.38,6,212.28,6.0,275.94,137.97,4.73,89286.26999999999,63.66,23.070232659273753,1.0,1.299886941775014,35.38,Small,0.0
480,BACARDI USA INC,1106,Aberfeldy Single Cask,750.0,249.99,2333.25,54,8399.7,38.0,9459.619999999999,5209.789999999997,29.959999999999987,89286.26999999999,1059.9199999999983,11.204678412029219,0.7037037037037037,1.126185459004488,155.55,Small,3999.84
480,BACARDI USA INC,1330,Grey Goose Glass Pack,1750.0,49.99,12705.640000000096,2403,91962.80999999966,2690.0,136831.10000000073,59877.28999999936,4943.320000000067,89286.26999999999,44868.29000000107,32.791002922581804,1.1194340407823553,1.4878960310151597,38.26999999999986,Large,-14347.130000000001
480,BACARDI USA INC,1414,Bacardi 8 Gift Set,750.0,23.99,14.28,5,71.4,35.0,869.6500000000001,319.87000000000006,27.569999999999993,89286.26999999999,798.2500000000001,91.7898004944518,7.0,12.179971988795518,14.280000000000001,Small,-719.6999999999999
480,BACARDI USA INC,1757,Aberfeldy 21 Yr Single Malt,750.0,159.99,350.34000000000003,14,1634.92,18.0,2879.819999999999,1599.9,14.189999999999994,89286.26999999999,1244.8999999999987,43.22839621920812,1.2857142857142858,1.7614439850267896,116.78,Small,-639.96
480,BACARDI USA INC,2123,Angel's Envy Rye,750.0,79.99,2724.1200000000013,295,17098.2,431.0,34475.69000000016,25676.790000000146,339.84000000000066,89286.26999999999,17377.49000000016,50.40505353192374,1.4610169491525424,2.0163344679557005,57.96,Medium,-10878.64
